Encoding = UTF-8
*GTD.GherkinReplayData
 
 item                     ; expected_value                               ; localization  ; test_case            ; configuration                                                                                            ; replay_data
================================================================================================================================================================================================================================================================================================================================================================================================================
 address.address          ; Am Sonnenberg 4a\n27404 Elsdorf                                           ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.address  | Am Sonnenberg 4a\n27404 Elsdorf | #current | #current | Get Address |"
 address.address_country  ; Am Sonnenberg 4a\n27404 Elsdorf\nDeutschland                              ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.address_country  | Am Sonnenberg 4a\n27404 Elsdorf\nDeutschland | #current | #current | Get Address And Country |"
 address.city             ; Berlin                                                                    ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.city  | Berlin | #current | #current | Get City |"
 address.country          ; Deutschland                                                               ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.country  | Deutschland | #current | #current | Get Country |"
 address.country_code     ; DE                                                                        ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.country_code  | DE | #current | #current | Get Country Code |"
 address.house_number     ; 24                                                                        ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.house_number  | 24 | #current | #current | Get House Number |"
 address.postcode         ; 56865                                                                     ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.postcode  | 56865 | #current | #current | Get Postcode |"
 address.postcode_city    ; 85445 Oberding                                                            ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.postcode_city  | 85445 Oberding | #current | #current | Get Postcode And City |"
 address.state            ; Bayern                                                                    ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.state  | Bayern | #current | #current | Get State |"
 address.street           ; Dorfstraße                                                                ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.street  | Dorfstraße | #current | #current | Get Street |"
 address.street_address   ; Rathausplatz 1                                                            ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.street_address  | Rathausplatz 1 | #current | #current | Get Street And House Number |"
 finance.bank_name        ; Volksbank Raiffeisenbank Obermain (Gf P2)                                 ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| finance.bank_name  | Volksbank Raiffeisenbank Obermain (Gf P2) | #current | #current | Get Bank |"
 finance.bank_bic         ; SOLADEST428                                                               ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| finance.bank_bic  | SOLADEST428 | #current | #current | Get Bic |"
 finance.bank_iban        ; DE39666923008322024858                                                    ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| finance.bank_iban  | DE39666923008322024858 | #current | #current | Get Iban |"
 person.first_name        ; Arzu                                                                      ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.first_name  | Arzu | #current | #current | Get First Name |"
 person.last_name         ; Leonhard                                                                  ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.last_name  | Leonhard | #current | #current | Get Last Name |"
 person.name              ; Erkhild Roll                                                              ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.name  | Erkhild Roll | #current | #current | Get Name |"
